"customer_state","customer_city","total_orders","total_revenue"
"SP","santa isabel","28","3181.2400000000007"
"ES","venda nova do imigrante","15","3171.23"
"BA","itapetinga","18","3169.5000000000005"
"BA","bom jesus da lapa","9","3153.6900000000005"
"MG","caete","27","3144.0600000000004"
"MG","jacutinga","18","3136.2400000000002"
"SP","santa cruz do rio pardo","34","3126.2300000000005"
"SP","cunha","14","3118.0000000000005"
"PR","marialva","16","3115.0200000000004"
"RS","imbe","13","3105.6699999999996"
"MG","taiobeiras","13","3103.8"
"MG","oliveira","22","3102.9700000000003"
"SP","holambra","23","3102.05"
"RJ","cordeiro","24","3098.4300000000007"
"RJ","parati","13","3088.5899999999997"
"MG","sao joao nepomuceno","14","3088.14"
"RJ","natividade","15","3081.95"
"SP","ipero","18","3079.8"
"MG","sao gotardo","20","3078.92"
"MG","santana do paraiso","16","3077.7299999999996"
"SP","bariri","15","3075.22"
"SP","pirapora do bom jesus","16","3067.5400000000004"
"SP","paraguacu paulista","20","3067.3100000000004"
"MG","pitangui","22","3064.2"
"BA","senhor do bonfim","18","3047.41"
"BA","dias d'avila","23","3044.98"
"SP","castilho","10","3043.6"
"RS","carlos barbosa","19","3015.4200000000005"
"SP","presidente epitacio","23","3014.15"
"SP","rancharia","21","3006.84"
"PR","irati","22","2994.1599999999994"
"SP","novo horizonte","16","2986.14"
"MG","ouro fino","16","2978.2200000000007"
"RS","santiago","26","2974.6999999999994"
"MG","capelinha","19","2968.1199999999994"
"MG","coromandel","25","2956.7100000000005"
"ES","nova venecia","19","2956.5899999999997"
"RS","feliz","14","2947.8500000000004"
"MG","espinosa","6","2947.4399999999996"
"SC","itapiranga","11","2921.8900000000003"
"MG","nanuque","25","2920.75"
"SP","piedade","22","2919.1600000000008"
"MG","buritizeiro","8","2911.23"
"MG","diamantina","27","2907.9300000000007"
"PR","dois vizinhos","27","2881.38"
"RS","veranopolis","18","2878.08"
"SP","monte alto","32","2870.52"
"SP","piracaia","21","2866.9100000000003"
"MG","monte siao","20","2866.4399999999996"
"SC","icara","21","2850.9"
"SP","bonfim paulista","18","2850.1699999999996"
"PR","missal","7","2838.9900000000002"
"SP","cravinhos","24","2838.32"
"RJ","barra de sao joao","13","2835.38"
"SP","tapiratiba","12","2835.2799999999997"
"RS","sao gabriel","23","2829.8199999999997"
"RJ","iguaba grande","19","2829.6500000000005"
"MG","manhumirim","16","2817.53"
"MG","joao pinheiro","16","2814.03"
"SP","taquarituba","15","2799.3500000000004"
"RS","canela","17","2798.26"
"MG","brumadinho","26","2795.25"
"GO","aguas lindas de goias","24","2788.7999999999997"
"SC","ararangua","18","2786.7400000000002"
"RS","vacaria","21","2768.24"
"GO","inhumas","16","2733.51"
"MG","araujos","5","2711.2200000000003"
"PR","cornelio procopio","24","2705.5800000000004"
"SC","laguna","14","2696.25"
"SP","ilha solteira","24","2694.7300000000005"
"SP","americo brasiliense","17","2688.89"
"BA","irece","13","2660.9100000000003"
"GO","goiatuba","10","2648.12"
"SP","socorro","19","2640.22"
"MG","guarani","7","2634.31"
"RS","marau","22","2631.9800000000005"
"SP","itaporanga","12","2621.1300000000006"
"RS","sao borja","18","2616.8900000000003"
"BA","riachao do jacuipe","5","2613.59"
"RJ","paty do alferes","13","2597.71"
"RJ","sao fidelis","23","2597.4199999999996"
"ES","piuma","17","2590.17"
"MG","tres pontas","19","2587.9899999999993"
"SP","laranjal paulista","17","2583.82"
"SP","rio grande da serra","25","2577.74"
"MG","nova era","15","2565.16"
"MG","santos dumont","22","2559.5799999999995"
"MG","bambui","18","2558.6800000000003"
"RJ","sao joao da barra","15","2548.1099999999997"
"RJ","pirai","15","2544.07"
"RJ","pinheiral","14","2529.38"
"GO","goianesia","17","2516.5800000000004"
"SP","junqueiropolis","15","2505.96"
"MG","matias barbosa","13","2489.66"
"PR","lapa","14","2488.5400000000004"
"BA","cruz das almas","18","2486.57"
"SP","viradouro","18","2480.9300000000003"
"SP","santa rita do passa quatro","18","2479.1299999999997"
"RJ","bom jardim","14","2474.68"
"RS","quarai","4","2474.1499999999996"
"PR","rio negro","15","2472.9099999999994"
"RS","carazinho","23","2466.74"
"SP","conchal","19","2464.8799999999997"
"SP","espirito santo do pinhal","18","2464.28"
"RS","estrela","15","2460.4199999999996"
"MG","paraisopolis","15","2453.22"
"RS","sao lourenco do sul","14","2453.1500000000005"
"MG","barao de cocais","18","2452.94"
"MG","varzea da palma","11","2440.9699999999993"
"SC","campos novos","14","2438.3700000000003"
"BA","nucleo residencial pilar","8","2417.94"
"PR","laranjeiras do sul","19","2413.23"
"GO","ipameri","12","2399.9599999999996"
"MG","conselheiro pena","15","2393.1800000000003"
"ES","anchieta","14","2387.85"
"BA","mucuri","7","2385.9900000000002"
"RS","cruzeiro do sul","3","2383.2799999999997"
"MG","camanducaia","9","2381.7599999999998"
"SC","penha","15","2379.71"
"SP","aguai","9","2370.8"
"GO","ipora","15","2362.54"
"PR","palmas","19","2359.92"
"MG","sacramento","13","2358.54"
"SC","fraiburgo","13","2338.54"
"RS","tres de maio","12","2334.8500000000004"
"PR","palmeira","12","2328.24"
"SC","mafra","25","2327.31"
"BA","serrinha","14","2314.11"
"MG","guanhaes","18","2313.7499999999995"
"GO","uruacu","17","2307.27"
"SC","bombinhas","15","2305.3000000000006"
"RJ","cachoeiras de macacu","20","2304.3199999999997"
"BA","caetite","10","2300.45"
"RJ","cantagalo","17","2289.8500000000004"
"PR","antonina","10","2285.4000000000005"
"PR","sao mateus do sul","15","2284.52"
"RJ","cambuci","8","2279.92"
"GO","cristalina","8","2275.49"
"SP","miguelopolis","14","2265.4999999999995"
"SP","pompeia","17","2252.95"
"MG","santo antonio do monte","14","2247.3100000000004"
"SP","santo anastacio","17","2240.33"
"ES","santa maria de jetiba","15","2231.0599999999995"
"MG","campo belo","21","2218.31"
"GO","piracanjuba","10","2211.4"
"SP","cesario lange","13","2209.0600000000004"
"PR","goioere","11","2191.01"
"BA","santa maria da vitoria","13","2185.0699999999997"
"SC","cocal do sul","4","2182.2400000000002"
"RS","triunfo","11","2180.86"
"MG","lagoa grande","4","2175.7700000000004"
"GO","porangatu","13","2162.7400000000002"
"MG","caxambu","16","2161.84"
"PR","jandaia do sul","8","2156.75"
"SP","porto ferreira","26","2130.07"
"RS","eldorado do sul","15","2127.04"
"RS","charqueadas","17","2125.02"
"SP","osvaldo cruz","16","2124.3599999999997"
"SP","nova granada","19","2122.45"
"SP","palmital","18","2122.03"
"PR","jaguariaiva","17","2117.03"
"GO","ceres","7","2116.38"
"MG","itanhandu","13","2113.8799999999997"
"MG","engenheiro navarro","1","2106.55"
"SP","fartura","10","2106.41"
"SP","cajati","16","2100.6899999999996"
"SP","ipua","4","2096.16"
"SC","sao joao batista","10","2080.5800000000004"
"PR","quatro barras","18","2079.83"
"MG","eloi mendes","10","2077.9500000000003"
"BA","santo amaro","10","2066.7400000000002"
"SP","pariquera-acu","15","2065.2100000000005"
"RS","sao sebastiao do cai","12","2053.37"
"RS","santa vitoria do palmar","12","2049.67"
"MG","buritis","13","2045.4500000000003"
"MG","esmeraldas","14","2043.24"
"PR","loanda","13","2042.7900000000002"
"RJ","itaocara","16","2042.5000000000002"
"MG","leopoldina","17","2038.21"
"MG","itamarandiba","8","2036.2700000000002"
"PR","sarandi","17","2035.7699999999998"
"PR","pinhalao","7","2032.35"
"SP","auriflama","10","2029.77"
"PR","guaratuba","9","2017.3099999999997"
"MG","igarape","9","2016.3499999999997"
"SC","barra velha","15","2014.4099999999999"
"PR","bandeirantes","13","2005.8500000000001"
"GO","novo gama","13","2001.41"
"RS","camaqua","12","1998.2100000000003"
"ES","castelo","18","1990.94"
"RS","parobe","12","1985.0699999999997"
"SP","santa rosa de viterbo","13","1975.2700000000002"
"ES","itaguacu","7","1972.99"
"SP","itai","10","1972.6599999999999"
"RJ","conceicao de macabu","12","1970.24"
"MG","carmo do rio claro","9","1969.5300000000002"
"SP","morro agudo","9","1967.9599999999998"
"MG","sao joaquim de bicas","8","1965.5099999999998"
"GO","alto paraiso de goias","9","1963.3499999999997"
"MG","visconde do rio branco","18","1952.6600000000003"
"SC","faxinal dos guedes","11","1948.7699999999998"
"PR","piraquara","14","1947.2399999999993"
"MG","abaete","12","1946.8100000000002"
"MG","mantena","11","1946.55"
"RS","palmeira das missoes","16","1943.52"
"MG","bocaiuva","13","1943.22"
"MG","carmo do cajuru","10","1932.42"
"MG","iturama","14","1931.5099999999998"
